Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards
1956;124.0;Teahouse of the August Moon;Drama;Brando, Marlon;Negami, Jun;Mann, Daniel;11.0;No
1970;91.0;Man Who Haunted Himself, The;Drama;Moore, Roger;Neil, Hildegard;Dearden, Basil;75.0;No
1991;108.0;Prisoner of Honor.;Drama;Dreyfuss, Richard;Neilson, Catherine;Russell, Ken;58.0;No
1980;109.0;Wholly Moses!;Comedy;Moore, Dudley;Newman, Laraine;Weis, Gary;25.0;No
1991;110.0;Star Trek VI: The Undiscovered Country;Science Fiction;Shatner, William;Nichols, Nichelle;Meyer, Nicholas;11.0;No
1989;107.0;Star Trek V: The Final Frontier;Action;Shatner, William;Nichols, Nichelle;Shatner, William ;87.0;No
1991;85.0;Circuitry Man;Action;Metzler, Jim;Nicholson, Dana W.;Lovy, Steven;78.0;No
1986;87.0;Cobra;Action;Stallone, Sylvester;Nielsen, Brigitte;Cosmatos, George P.;57.0;No
1987;103.0;Beverly Hills Cop II;Comedy;Murphy, Eddie;Nielsen, Brigitte;Scott, Tony;37.0;No
1950;93.0;To Joy;Drama;Olin, Stig;Nilsson, Maj-Britt;Bergman, Ingmar;65.0;No
1958;128.0;Vertigo;Drama;Stewart, James;Novak, Kim;Hitchcock, Alfred;10.0;No
1987;91.0;Young Love: Lemon Popsicle Seven;Comedy;Katzur, Yftach;Noy, Zachi;Bennett, Walter;47.0;No
1946;93.0;Crack-Up;Mystery;Marshall, Herbert;O'Brien, Pat;Reis, Irving;25.0;No
1941;57.0;Bury Me Not on the Lone Prairie;Western;Brown, Johnny Mack;O'Day, Nell;Taylor, Ray;85.0;No
1940;57.0;Law & Order;Western;Brown, Johnny Mack;O'Day, Nell;Taylor, Ray;87.0;No
1941;56.0;Man from Montana;Western;Brown, Johnny Mack;O'Day, Nell;Taylor, Ray;85.0;No
1992;137.0;Long Gray Line, The;Drama;Power, Tyrone;O'Hara, Maureen;Ford, John;26.0;No
1950;105.0;Rio Grande;Western;Wayne, John;O'Hara, Maureen;Ford, John;64.0;No
1957;107.0;Wings of Eagles, The;Drama;Wayne, John;O'Hara, Maureen;Ford, John;29.0;No
1939;94.0;Jamaica Inn;Drama;Laughton, Charles;O'Hara, Maureen;Hitchcock, Alfred;75.0;No
1971;110.0;Big Jake;Action;Wayne, John;O'Hara, Maureen;Sherman, George;68.0;No
1983;72.0;After the Rehearsal;Drama;Josephson, Erland;Olin, Lena;Bergman, Ingmar;0.0;No
1952;90.0;Big Jim McLain;Western;Wayne, John;Olson, Nancy;Ludwig, Edward;14.0;No
1969;101.0;Smith!;Western;Ford, Glenn;Olson, Nancy;O'Herlihy, Michael;62.0;No
1953;79.0;Wild One, The;Drama;Brando, Marlon;O'Malley, Pat;Benedek, Laslo;26.0;No
1929;129.0;Manxman, The;Drama;Brisson, Carl;Ondra, Anny;Hitchcock, Alfred;65.0;No
1978;126.0;International Velvet;Drama;Hopkins, Anthony;O'Neal, Tatum;Forbes, Bryan;40.0;No
1981;104.0;Scanners;Horror;Lack, Stephen;O'Neill, Jennifer;Cronenberg, David;32.0;No
1986;98.0;Trick or Treat;Horror;Price, Marc;Orgolini, Lisa;Smith, Charles Martin;47.0;No
1982;92.0;48 Hrs.;Action;Nolte, Nick;O'Toole, Annette;Hill, Walter;67.0;No
1985;108.0;Trip to Bountiful, The;Drama;Heard, John;Page, Geraldine;Masterson, Peter;62.0;Yes
1955;116.0;Mister Roberts;Comedy;Fonda, Henry;Palmer, Betsy;Ford, John;8.0;Yes
1969;127.0;Z;Drama;Montand, Yves;Papas, Irene;Gavras, Costa;72.0;Yes
1987;139.0;Maurice;Drama;Wilby, James;Parfitt, Judy;Ivory, James;45.0;No
1969;114.0;Hamlet;Drama;Williamson, Nicol;Parfitt, Judy;Richardson, Tony;39.0;No
1991;117.0;La Femme Nikita;Drama;Karyo, Tcheky;Parillaud, Anne;Besson, Luc;6.0;No
1993;95.0;Honeymoon in Vegas;Comedy;Caan, James;Parker, Sarah Jessica;Bergman, Andrew;53.0;No
1988;90.0;Going for the Gold;Action;Edwards, Anthony;Parker, Sarah Jessica;Taylor, Dan;10.0;No
1976;128.0;Shout at the Devil;Action;Marvin, Lee;Parkins, Barbara;Hunt, Peter R.;0.0;No
1986;94.0;A Smoky Mountain Christmas;Music;Majors, Lee;Parton, Dolly;Winkler, Henry;23.0;No
1984;95.0;Getting Physical;Drama;Naughton, David;Paul, Alexandra;Stern, Steven Hilliard;75.0;No
1990;95.0;Torn Apart;Drama;Pasdar, Adrian;Peck, Cecilia;Fisher, Jack;8.0;No
1986;112.0;From the Hip;Comedy;Nelson, Judd;Perkins, Elizabeth;Clark, Bob;36.0;No
1984;102.0;Ratings Game, The;Comedy;DeVito, Danny;Perlman, Rhea;DeVito, Danny;21.0;No
1986;89.0;Water;Comedy;Caine, Michael;Perrine, Valerie;Clement, Dick;47.0;No
1978;88.0;Silent Movie;Comedy;Brooks, Mel;Peters, Bernadette;Brooks, Mel;27.0;No
1989;122.0;Pink Cadillac;Comedy;Eastwood, Clint;Peters, Bernadette;Eastwood, Clint;12.0;No
1979;94.0;Jerk, The;Comedy;Martin, Steve;Peters, Bernadette;Reiner, Carl;22.0;No
1986;107.0;Sweet Liberty;Comedy;Alda, Alan;Pfeiffer, Michelle;Alda, Alan;12.0;No
1982;115.0;Grease II;Music;Caulfield, Maxwell;Pfeiffer, Michelle;Birch, Patricia;64.0;No
1989;104.0;Married to the Mob;Comedy;Modine, Matthew;Pfeiffer, Michelle;Demme, Jonathan;8.0;No
1985;121.0;Ladyhawke;Adventure;Broderick, Matthew;Pfeiffer, Michelle;Donner, Richard;68.0;No
1989;114.0;Fabulous Baker Boys, The;Drama;Bridges, Jeff;Pfeiffer, Michelle;Kloves, Steve;66.0;No
1985;115.0;Into the Night;Comedy;Goldblum, Jeff;Pfeiffer, Michelle;Landis, John;62.0;No
1991;124.0;Russia House, The;Drama;Connery, Sean;Pfeiffer, Michelle;Schepisi, Fred;3.0;No
1988;116.0;Tequila Sunrise;Mystery;Gibson, Mel;Pfeiffer, Michelle;Towne, Robert;50.0;No
1971;108.0;Last Movie, The;Drama;Hopper, Dennis;Phillips, Michelle;Hopper, Dennis;22.0;No
1973;106.0;Dillinger;Drama;Oates, Warren;Phillips, Michelle;Milius, John;83.0;No
1988;360.0;Little Dorrit;Drama;Jacobi, Derek;Pickering, Sarah;Edzard, Christine;12.0;No
1927;78.0;My Best Girl;Drama;Rogers, Charles;Pickford, Mary;Taylor, Sam;31.0;No
1989;93.0;Seizure;Horror;Frid, Jonathan;Pickles, Christina;Stone, Oliver;59.0;No
1990;89.0;A Chorus of Disapproval;Comedy;Irons, Jeremy;Pigg, Alexandra;Winner, Michael;0.0;No
1962;119.0;Rome Adventure;Drama;Donahue, Tony;Pleshette, Suzanne;Daves, Delmer;39.0;No
1992;121.0;Drowning by Numbers;Mystery;Hill, Bernard;Plowright, Joan;Greenaway, Peter;28.0;No
1991;88.0;Born to Ride;Action;Stamos, John;Polo, Teri;Baker, Graham;59.0;No
1988;94.0;Her Alibi;Comedy;Selleck, Tom;Porizkova, Paulina;Beresford, Bruce;80.0;No
1990;95.0;Dangerous Pursuit;Mystery;Harrison, Gregory;Powers, Alexandra;Stern, Sandor;88.0;No
1962;123.0;Experiment in Terror;Mystery;Ford, Glenn;Powers, Stefanie;Edwards, Blake;77.0;No
1972;105.0;Hideaways, The;Comedy;Doran, Johnny;Prager, Sally;Cook, Fielder;42.0;No
1965;108.0;What's New Pussycat;Comedy;O'Toole, Peter;Prentiss, Paula;Donner, Clive;83.0;No
1965;108.0;What's New Pussycat?;Comedy;Sellers, Peter;Prentiss, Paula;Donner, Clive;46.0;No
1983;98.0;Packin' It In;Comedy;Benjamin, Richard;Prentiss, Paula;Taylor, Jud;8.0;No
1988;90.0;Naked Gun: From the Files of Police Squad!, THe;Comedy;Nielsen, Leslie;Presley, Priscilla;Zucker, David;9.0;No
1990;106.0;In Too Deep;Drama;Race, Hugo;Press, Santha;Tatoulis, Colin South John;50.0;No
1988;107.0;Twins;Comedy;Schwarzenegger, Arnold;Preston, Kelly;Reitman, Ivan;23.0;No
1988;94.0;Experts, The;Comedy;Travolta, John;Preston, Kelly;Thomas, Dave;67.0;No
1989;94.0;Naked Lie;Drama;Lucking, William;Principal, Victoria;Colla, Richard A.;7.0;No
1987;87.0;Mistress;Drama;Rachins, Allan;Principal, Victoria;Tuchner, Michael;36.0;No
1970;100.0;Adam at 6 A.M.;Drama;Douglas, Michael;Purcell, Lee;Scheerer, Robert;3.0;No
1990;93.0;Web of Deceit;Drama;Read, James;Purl, Linda;Stern, Sandor;6.0;No
1991;119.0;New York Stories;Comedy;Allen, Woody;Questel, Mae;Coppola, Francis Ford;6.0;No
1987;97.0;Dreams Lost, Dreams Found;Drama;Robb, David;Quinlan, Kathleen;Patterson, Willi;66.0;No
1987;103.0;Au Revoir les Enfants;Drama;Manesse, Gaspard;Racette, Francine;Malle, Louis;35.0;No
1989;122.0;Quo Vadis;Drama;Brandauer, Klaus Maria;Raines, Cristina;Rossi, Franco;6.0;No
1949;100.0;Fighting Kentuckian, The;Action;Wayne, John;Ralston, Vera;Waggner, George;74.0;No
1974;104.0;Zardoz;Science Fiction;Connery, Sean;Rampling, Charlotte;Boorman, John;6.0;No
1989;84.0;Police Academy 6: City under Siege;Comedy;Smith, Bubba;Ramsey, Marion;Bonerz, Peter;29.0;No
1988;90.0;Police Academy 5: Assignment Miami Beach;Comedy;Gaynes, George;Ramsey, Marion;Myerson, Alan;59.0;No
1986;84.0;Police Academy 3: Back in Training;Comedy;Guttenberg, Steve;Ramsey, Marion;Paris, Jerry;6.0;No
1991;60.0;America's Music, Blues;Music;Hopkins, Linda;Redd, Vi;Walton, Kip;54.0;No
1977;100.0;Julia;Drama;Fonda, Vanessa;Redgrave, Jane;Zinnemann, Fred;75.0;Yes
1971;111.0;Devils, The;Drama;Reed, Oliver;Redgrave, Vanessa;Russell, Ken;69.0;No
1984;90.0;Ransom;Drama;Ford, Glenn;Reed, Donna;Segal, Alex;73.0;No
1990;97.0;Cadillac Man;Comedy;Williams, Robin;Reed, Pamela;Donaldson, Roger;28.0;No
1986;104.0;Best of Times, The;Comedy;Williams, Robin;Reed, Pamela;Spottiswoode, Roger;88.0;No
1985;135.0;Death of a Salesman;Drama;Hoffman, Dustin;Reid, Kate;Schlndorff, Volker;13.0;No
1987;153.0;Empire of the Sun;Drama;Malkovich, John;Richardson, Miranda;Spielberg, Steven;6.0;No
1991;102.0;Comfort of Strangers, The;Mystery;Walken, Christopher;Richardson, Natasha;Schrader, Paul;5.0;No
1969;135.0;On Her Majesty's Secret Service;Action;Lazenby, George;Rigg, Diana;Hunt, Peter R.;66.0;No
1986;96.0;Pretty in Pink;Drama;Stanton, Harry Dean;Ringwald, Molly;Deutch, Howard;75.0;No
1943;60.0;Lone Star Trail, The;Western;Brown, Johnny Mack;Ritter, Tex;Taylor, Ray;27.0;No
1986;98.0;Summer;Comedy;Gauthier, Vincent;Riviere, Marie;Rohmer, Eric;11.0;No
1987;93.0;Planes, Trains & Automobiles;Comedy;Martin, Steve;Robbins, Laila;Hughes, John;73.0;No
1990;119.0;Pretty Woman;Comedy;Gere, Richard;Roberts, Julia;Marshall, Garry;43.0;No
1991;111.0;Flatliners;Drama;Sutherland, Kiefer;Roberts, Julia;Schumacher, Joel;19.0;No
1991;142.0;Hook;Action;Williams, Robin;Roberts, Julia;Spielberg, Steven;4.0;No
1940;56.0;Riders of Pasco Basin;Western;Brown, Johnny Mack;Robinson, Frances;Taylor, Ray;17.0;No
1990;106.0;Desperate Hours;Mystery;Rourke, Mickey;Rogers, Mimi;Cimino, Michael;58.0;No
1986;111.0;Gung Ho;Comedy;Keaton, Michael;Rogers, Mimi;Howard, Ron;59.0;No
1992;96.0;Shooting Elizabeth;Mystery;Goldblum, Jeff;Rogers, Mimi;Taylor, Baz;5.0;No
1951;101.0;Strangers on a Train;Mystery;Granger, Farley;Roman, Ruth;Hitchcock, Alfred;17.0;No
1979;198.0;Sacketts, The;Western;Elliott, Sam;Roman, Ruth;Totten, Robert;86.0;No
1991;87.0;To Die Standing;Action;De Young, Cliff;Rose, Jamie;Morneau, Louis;53.0;No
1980;92.0;Rodeo Girl;Drama;Hopkins, Bo;Ross, Katharine;Cooper, Jackie;80.0;No
1969;110.0;Butch Cassidy & the Sundance Kid;Western;Newman, Paul;Ross, Katharine;Hill, George Roy;29.0;Yes
1968;121.0;Hellfighters;Action;Wayne, John;Ross, Katharine;McLaglen, Andrew V.;22.0;No
1980;92.0;Final Countdown, The;Action;Douglas, Kirk;Ross, Katharine;Taylor, Don;35.0;No
1986;120.0;Blue Velvet;Mystery;MacLachlan, Kyle;Rossellini, Isabella;Lynch, David;6.0;No
1976;90.0;Black & White in Color;Comedy;Carmet, Jean;Rouvel, Catherine;Annaud, Jean-Jacques;24.0;Yes
1988;81.0;Another Woman;Drama;Hackman, Gene;Rowlands, Gena;Allen, Woody;7.0;No
1992;128.0;Night on Earth;Drama;Benigni, Roberto;Rowlands, Gena;Jarmusch, Jim;24.0;No
1988;92.0;Permanent Record;Drama;Boyce, Alan;Rubin, Jennifer;Silver, Marisa;42.0;No
1992;138.0;Fisher King, The;Drama;Williams, Robin;Ruehl, Mercedes;Gilliam, Terry;8.0;Yes
1991;98.0;Another You;Comedy;Pryor, Richard;Ruehl, Mercedes;Phillips, Maurice;75.0;No
1958;167.0;Young Lions, The;Drama;Brando, Marlon;Rush, Barbara;Dmytryk, Edward;10.0;No
1988;89.0;Cheerleader Camp;Horror;Garrett, Leif;Russell, Betsy;Quinn, John;79.0;No
1947;96.0;Angel & the Badman;Western;Wayne, John;Russell, Gail;Grant, James Edward;84.0;No
1990;109.0;Impulse;Mystery;Fahey, Jeff;Russell, Theresa;Locke, Sondra;23.0;No
1988;91.0;Track Twenty-Nine;Drama;Oldman, Gary;Russell, Theresa;Roeg, Nicolas;48.0;No
1991;110.0;Freejack;Action;Estevez, Emilio;Russo, Rene;Richardson, Tony;26.0;No
1988;81.0;Smallest Show on Earth, The;Comedy;Sellers, Peter;Rutherford, Margaret;Dearden, Basil;24.0;No
1987;120.0;Innerspace;Science Fiction;Quaid, Dennis;Ryan, Meg;Dante, Joe;41.0;No
1988;97.0;Presidio, The;Action;Connery, Sean;Ryan, Meg;Hyams, Peter;4.0;No
1990;102.0;Joe Versus the Volcano;Comedy;Hanks, Tom;Ryan, Meg;Patrick, John;17.0;No
1991;135.0;Doors, The;Drama;Kilmer, Val;Ryan, Meg;Stone, Oliver;60.0;No
1990;98.0;Welcome Home, Roxy Carmichael;Comedy;Daniels, Jeff;Ryder, Winona;Abrahams, Jim;41.0;No
1972;99.0;Cancel My Reservation;Comedy;Hope, Bob;Saint, Eva Marie;Bogart, Paul;60.0;No
1991;135.0;North by Northwest;Mystery;Grant, Cary;Saint, Eva Marie;Hitchcock, Alfred;20.0;No
1966;127.0;Russians Are Coming, the Russians Are, The;Comedy;Reiner, Carl;Saint, Eva Marie;Jewison, Norman;79.0;Yes
1992;213.0;Exodus;Drama;Newman, Paul;Saint, Eva Marie;Preminger, Otto;13.0;No
1982;128.0;Ballad of Narayama, The;Drama;Ogata, Ken;Sakamoto, Sumiko;Imamura, Shohei;88.0;No
1985;96.0;Out of the Darkness;Mystery;Sheen, Martin;Salt, Jennifer;Taylor, Jud;86.0;No
1971;90.0;Garden of the Finzi-Continis, The;Drama;Capolicchio, Lino;Sanda, Dominique;De Sica, Vittorio;42.0;Yes
1974;105.0;Steppenwolf;Drama;Sydow, Max von;Sanda, Dominique;Haines, Fred;20.0;No
1973;100.0;Mackintosh Man, The;Action;Newman, Paul;Sanda, Dominique;Huston, John;65.0;No
1968;105.0;Partner;Drama;Clementi, Pierre;Sandrelli, Stefania;Bertolucci, Bernardo;26.0;No
1970;107.0;Conformist, The;Drama;Trintignant, Jean-Louis;Sandrelli, Stefania;Bertolucci, Bernardo;72.0;No
1971;102.0;Dirty Harry;Drama;Eastwood, Clint;Santoni, Reni;Siegel, Don;72.0;No
1986;103.0;Ferris Bueller's Day Off;Comedy;Broderick, Matthew;Sara, Mia;Hughes, John;12.0;No
1986;89.0;Legend;Science Fiction;Cruise, Tom;Sara, Mia;Scott, Ridley;42.0;No
1984;110.0;Buddy System, The;Drama;Dreyfuss, Richard;Sarandon, Susan;Jordan, Glenn;48.0;No
1989;97.0;A Dry White Season;Drama;Sutherland, Donald;Sarandon, Susan;Palcy, Euzhan;71.0;No
1975;105.0;Rocky Horror Picture Show, The;Music;Gray, Charles;Sarandon, Susan;Sharman, Jim;59.0;No
1968;360.0;War & Peace;Drama;Tikhonov, Vyacheslav;Savelyeva, Lyudmila;Bondarchuk, Sergei;80.0;Yes
1991;80.0;Going Under;Comedy;Pullman, Bill;Schaal, Wendy;Travis, Mark W.;30.0;No
1975;118.0;Passenger, The;Drama;Nicholson, Jack;Schneider, Maria;Antonioni, Michelangelo;32.0;No
1973;127.0;Last Tango in Paris;Drama;Brando, Marlon;Schneider, Maria;Bertolucci, Bernardo;28.0;No
1987;155.0;Indigo Autumn & Lilac Dream;Drama;Singer, Marc;Schrage, Lisa;Gillard, Stuart;72.0;No
1924;95.0;Kriemhild's Revenge, The Nibelungenlied;Drama;Loos, Theodor;Schn, Margarete;Lang, Fritz;74.0;No
1966;102.0;Johnny Tiger;Drama;Taylor, Robert;Scott, Brenda;Wendkos, Paul;69.0;No
1986;90.0;Head Office;Comedy;Reinhold, Judge;Seymour, Jane;Finkleman, Ken;88.0;No
1972;100.0;Le Charme Discret de la Bourgeoisie;Comedy;Rey, Fernando;Seyrig, Delphine;Bunuel, Luis;4.0;Yes
1986;83.0;Blue City;Action;Nelson, Judd;Sheedy, Ally;Manning, Michelle;38.0;No
1983;123.0;Bad Boys;Drama;Penn, Sean;Sheedy, Ally;Rosenthal, Rick;7.0;No
1986;82.0;Whoopee Boys, The;Comedy;O'Keefe, Michael;Shelley, Carole;Byrum, John;54.0;No
1971;118.0;Last Picture Show, The;Drama;Bottoms, Timothy;Shepherd, Cybill;Bogdanovich, Peter;62.0;Yes
1988;93.0;Diamond Trap, The;Drama;Hessman, Howard;Shields, Brooke;Taylor, Don;58.0;No
1981;115.0;Endless Love;Drama;Hewitt, Martin;Shields, Brooke;Zeffirelli, Franco;20.0;No
1976;90.0;Rocky;Drama;Stallone, Sylvester;Shire, Talia;Avildsen, John G.;78.0;Yes
1988;103.0;Cocktail;Drama;Cruise, Tom;Shue, Elisabeth;Donaldson, Roger;13.0;No
1936;77.0;Sabotage;Mystery;Homolka, Oskar;Sidney, Sylvia;Hitchcock, Alfred;74.0;No
1977;105.0;Madame Rosa;Drama;Youb, Samy Ben;Signoret, Simone;Mizrahi, Moshe;11.0;Yes
1954;110.0;Desiree;Drama;Brando, Marlon;Simmons, Jean;Koster, Henry;22.0;No
1960;185.0;Spartacus;Drama;Douglas, Kirk;Simmons, Jean;Kubrick, Stanley;67.0;Yes
1955;150.0;Guys & Dolls;Comedy;Brando, Marlon;Simmons, Jean;Mankiewicz, Joseph L.;70.0;Yes
1992;95.0;Until They Sail;Drama;Newman, Paul;Simmons, Jean;Wise, Robert;77.0;No
1988;116.0;Coming to America;Comedy;Murphy, Eddie;Sinclair, Madge;Landis, John;11.0;No
1963;93.0;Lilies of the Field;Drama;Poitier, Sidney;Skala, Lilia;Poitier, Sidney;36.0;Yes
1987;99.0;River's Edge;Drama;Glover, Crispin;Skye, Ione;Hunter, Tim;3.0;No
1986;93.0;Ruthless People;Comedy;DeVito, Danny;Slater, Helen;Abrahams, Jim;84.0;No
1987;110.0;Secret of My Success, The;Comedy;Fox, Michael J.;Slater, Helen;Ross, Herbert;5.0;No
1965;128.0;Shop on Main Street, The;Drama;Kroner, Josef;Slivoka, Hana;Kadar, Jan;37.0;Yes
1988;101.0;Funny Farm;Comedy;Chase, Chevy;Smith, Madolyn;Hill, George Roy;30.0;No
1988;120.0;Lonely Passion of Judith Hearne, The;Drama;Hoskins, Bob;Smith, Maggie;Clayton, Jack;24.0;No
1978;103.0;California Suite;Comedy;Caine, Michael;Smith, Maggie;Ross, Herbert;11.0;Yes
1986;97.0;Maximum Overdrive;Horror;Estevez, Emilio;Smith, Yeardley;King, Stephen;40.0;No
1985;116.0;Pale Rider;Western;Eastwood, Clint;Snodgress, Carrie;Eastwood, Clint;45.0;No
1990;88.0;Kissing Place, The;Drama;Birney, Meredith Baxter;Snow, Victoria;Wharmby, Tony;41.0;No
1986;90.0;French Lesson;Comedy;Sterling, Alexandre;Snowden, Jane;Gilbert, Brian;29.0;No
1985;88.0;Roller Blade;Action;Hutchinson, Jeff;Solari, Suzanne;Jackson, Donald G;31.0;No
1964;101.0;A Shot in the Dark;Comedy;Sellers, Peter;Sommer, Elke;Edwards, Blake;51.0;No
1982;122.0;Missing;Drama;Lemmon, Jack;Spacek, Sissy;Gavras, Costa;30.0;No
1989;99.0;Picasso Trigger;Action;Bond, Steve;Speir, Dona;Sidaris, Andy;20.0;No
1987;97.0;Hard Ticket to Hawaii;Action;Moss, Ronn;Speir, Dona;Sidaris, Andy;36.0;No
1933;72.0;Baby Face;Drama;Brent, George;Stanwyck, Barbara;Green, Alfred E.;66.0;No
1992;95.0;Violent Men, The;Action;Ford, Glenn;Stanwyck, Barbara;Mate, Rudolph;25.0;No
1985;117.0;Cocoon;Science Fiction;Ameche, Don;Stapleton, Maureen;Howard, Ron;45.0;Yes
1986;96.0;Clockwise;Comedy;Cleese, John;Steadman, Alison;Morahan, Christopher;10.0;No
1981;111.0;Outland;Science Fiction;Connery, Sean;Sternhagen, Frances;Hyams, Peter;7.0;No
1967;114.0;Hang 'em High;Western;Eastwood, Clint;Stevens, Inger;Post, Ted;67.0;No
1992;123.0;Basic Instinct;Mystery;Douglas, Michael;Stone, Sharon;Verhoeven, Paul;41.0;No
1990;113.0;Total Recall;Action;Schwarzenegger, Arnold;Stone, Sharon;Verhoeven, Paul;8.0;No
1987;115.0;Stakeout;Comedy;Dreyfuss, Richard;Stowe, Madeleine;Badham, John;13.0;No
1992;104.0;Unnamable II, The Statement of Randolph Carter, The;Drama;Rhys-Davies, John;Strain, Julie;Ouellette, Jean-Paul;36.0;No
1967;85.0;Trip, The;Drama;Fonda, Peter;Strasberg, Susan;Corman, Roger;64.0;No
1987;135.0;Ironweed;Drama;Nicholson, Jack;Streep, Meryl;Babenco, Hector;32.0;No
1991;112.0;Defending Your Life;Comedy;Brooks, Albert;Streep, Meryl;Brooks, Albert;75.0;No
1978;183.0;Deer Hunter, The;Drama;De Niro, Robert;Streep, Meryl;Cimino, Michael;82.0;Yes
1984;106.0;Falling in Love;Drama;De Niro, Robert;Streep, Meryl;Grosbard, Ulu;31.0;No
1986;108.0;Heartburn;Comedy;Nicholson, Jack;Streep, Meryl;Nichols, Mike;57.0;No
1983;131.0;Silkwood;Drama;Russell, Kurt;Streep, Meryl;Nichols, Mike;52.0;No
1982;151.0;Sophie's Choice;Drama;Kline, Kevin;Streep, Meryl;Pakula, Alan J.;64.0;Yes
1985;161.0;Out of Africa;Drama;Redford, Robert;Streep, Meryl;Pollack, Sydney;88.0;Yes
1981;127.0;French Lieutenant's Woman, The;Drama;Irons, Jeremy;Streep, Meryl;Reisz, Karel;37.0;No
1985;124.0;Plenty;Drama;Dance, Charles;Streep, Meryl;Schepisi, Fred;9.0;No
1988;122.0;A Cry in the Dark;Drama;Neill, Sam;Streep, Meryl;Schepisi, Fred;67.0;No
1989;99.0;She-Devil;Comedy;Begley, Ed;Streep, Meryl;Seidelman, Susan;43.0;No
1992;103.0;Death Becomes Her;Drama;Willis, Bruce;Streep, Meryl;Zemeckis, Robert;61.0;No
1970;129.0;On a Clear Day You Can See Forever;Music;Montand, Yves;Streisand, Barbra;Minnelli, Vincente;67.0;No
1987;100.0;Nuts;Drama;Dreyfuss, Richard;Streisand, Barbra;Ritt, Martin;52.0;No
1983;134.0;Yentl;Music;Patinkin, Mandy;Streisand, Barbra;Streisand, Barbra;46.0;No
1968;151.0;Funny Girl;Music;Sharif, Omar;Streisand, Barbra;Wyler, William;30.0;Yes
1990;97.0;Fellow Traveller;Drama;Travanti, Daniel J.;Stubbs, Imogen;Towns, Philip Saville;39.0;No
1970;140.0;Dodesukaden;Drama;Zushi, Yoshitaka;Sugai, Kin;Kurosawa, Akira;75.0;No
1941;117.0;So Ends Our Night;Drama;March, Fredric;Sullavan, Margaret;Cromwell, John;2.0;No
1984;102.0;Sword of the Valiant;Action;O'Keeffe, Miles;Sutton, Emma;Weeks, Stephen;5.0;No
1949;78.0;Devil's Wanton, The;Drama;Malmsten, Birger;Svedlund, Doris;Bergman, Ingmar;66.0;No
1989;99.0;Driving Miss Daisy;Drama;Freeman, Morgan;Tandy, Jessica;Beresford, Bruce;6.0;Yes
1983;105.0;Between Friends;Drama;Ramer, Henry;Taylor, Elizabeth;Antonio, Lou;54.0;No
1957;173.0;Raintree County;Drama;Clift, Montgomery;Taylor, Elizabeth;Dmytryk, Edward;74.0;No
1975;101.0;Driver's Seat, The;Drama;Bannen, Ian;Taylor, Elizabeth;Griffi, Giuseppe Patroni;72.0;No
1967;109.0;Reflections in a Golden Eye;Drama;Brando, Marlon;Taylor, Elizabeth;Huston, John;81.0;No
1972;110.0;X, Y & Zee;Drama;Caine, Michael;Taylor, Elizabeth;Hutton, Brian G.;87.0;No
1968;109.0;Secret Ceremony;Drama;Mitchum, Robert;Taylor, Elizabeth;Losey, Joseph;60.0;No
1963;243.0;Cleopatra;Drama;Burton, Richard;Taylor, Elizabeth;Mankiewicz, Joseph L.;80.0;No
1992;130.0;Who's Afraid of Virginia Woolf?;Drama;Burton, Richard;Taylor, Elizabeth;Nichols, Mike;82.0;Yes
1977;110.0;A Little Night Music;Music;Cariou, Len;Taylor, Elizabeth;Prince, Harold;61.0;No
1956;201.0;Giant;Drama;Hudson, Rock;Taylor, Elizabeth;Stevens, George;61.0;Yes
1985;94.0;Rumor Mill, The;Drama;Dysart, Richard A.;Taylor, Elizabeth;Trikonis, Gus;62.0;No
1943;90.0;Lassie Come Home;Drama;McDowall, Roddy;Taylor, Elizabeth;Wilcox, Fred M;79.0;No
1931;125.0;Cimarron;Western;Dix, Richard;Taylor, Estelle;Ruggles, Wesley;44.0;Yes
1992;83.0;Apache Woman;Western;Bridges, Lloyd;Taylor, Joan;Corman, Roger;32.0;No
1988;101.0;Mystic Pizza;Comedy;Moses, William;Taylor, Lili;Petrie, Donald;74.0;No
1991;95.0;Dogfight;Action;Phoenix, River;Taylor, Lili;Savoca, Nancy;66.0;No
1935;234.0;Adventures of Rex & Rinty, The;Western;the Wonder Horse, Rex;Taylor, Norma;Beebe, Ford;87.0;No
1988;60.0;Daphnis & Chloe;Music;Morrow, Carl;Taylor, Victoria;Wimhurst, Jolyon;85.0;No
1980;97.0;Marathon;Comedy;Newhart, Bob;Taylor-Young, Leigh;Cooper, Jackie;76.0;No
1948;127.0;Fort Apache;Western;Fonda, Henry;Temple, Shirley;Ford, John;4.0;No
1937;100.0;Wee Willie Winkie;Drama;Romero, Cesar;Temple, Shirley;Ford, John;78.0;No
1987;91.0;Big Shots;Action;Busker, Ricky;Thayer, Brynn;Mandel, Robert;5.0;No
1988;85.0;Doin' Time on Planet Earth;Comedy;Strouse, Nocholas;Thompson, Andrea;Matthau, Charles;44.0;Yes
1983;91.0;All the Right Moves;Drama;Cruise, Tom;Thompson, Lea;Chapman, Michael;65.0;No
1987;93.0;Some Kind of Wonderful;Drama;Stoltz, Eric;Thompson, Lea;Deutch, Howard;16.0;No
1990;87.0;All New Tales from the Crypt, A Trilogy;Horror;Walsh, M. Emmet;Thompson, Lea;Deutch, Howard;33.0;No
